case_id,ticker,company_name,announcement_date,filing_date,filing_type,accession_number,source_url,possible_signal_type,keyword_hits,excerpt_if_available,confidence,recommended_status
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2021-02-23,10-K,0001564590-21-007292,https://www.sec.gov/Archives/edgar/data/1571498/000156459021007292/0001564590-21-007292-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2021-02-23,8-K,0001193125-21-051450,https://www.sec.gov/Archives/edgar/data/1571498/000119312521051450/0001193125-21-051450-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2021-04-29,DEF 14A,0001193125-21-138283,https://www.sec.gov/Archives/edgar/data/1571498/000119312521138283/0001193125-21-138283-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2021-05-06,10-Q,0001564590-21-024499,https://www.sec.gov/Archives/edgar/data/1571498/000156459021024499/0001564590-21-024499-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2021-05-06,8-K,0001193125-21-152435,https://www.sec.gov/Archives/edgar/data/1571498/000119312521152435/0001193125-21-152435-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2021-06-16,8-K,0001193125-21-191633,https://www.sec.gov/Archives/edgar/data/1571498/000119312521191633/0001193125-21-191633-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2021-06-28,8-K,0001193125-21-202180,https://www.sec.gov/Archives/edgar/data/1571498/000119312521202180/0001193125-21-202180-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2021-08-09,10-Q,0001564590-21-042709,https://www.sec.gov/Archives/edgar/data/1571498/000156459021042709/0001564590-21-042709-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2021-08-09,8-K,0001193125-21-239879,https://www.sec.gov/Archives/edgar/data/1571498/000119312521239879/0001193125-21-239879-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2021-08-16,8-K,0001193125-21-247895,https://www.sec.gov/Archives/edgar/data/1571498/000119312521247895/0001193125-21-247895-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2021-08-16,SC 13D,0001104659-21-105574,https://www.sec.gov/Archives/edgar/data/1571498/000110465921105574/0001104659-21-105574-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
