evidence_id,case_id,ticker,evidence_type,source_name,source_url,filing_type,filing_date,accession_number,exhibit_number,excerpt,supports_field,confidence,verification_status,added_by,added_date,notes
RHC-0051-ACQUIRED-EPZM-ADJ-DRAFT-001,RHC-0051-ACQUIRED-EPZM,EPZM,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-14,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0052-ACQUIRED-FMTX-ADJ-DRAFT-001,RHC-0052-ACQUIRED-FMTX,FMTX,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-14,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0053-ACQUIRED-GBT-ADJ-DRAFT-001,RHC-0053-ACQUIRED-GBT,GBT,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-14,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0054-ACQUIRED-IMGO-ADJ-DRAFT-001,RHC-0054-ACQUIRED-IMGO,IMGO,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-14,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0055-ACQUIRED-OYST-ADJ-DRAFT-001,RHC-0055-ACQUIRED-OYST,OYST,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-14,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0056-ACQUIRED-SRRA-ADJ-DRAFT-001,RHC-0056-ACQUIRED-SRRA,SRRA,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-14,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0057-ACQUIRED-TPTX-ADJ-DRAFT-001,RHC-0057-ACQUIRED-TPTX,TPTX,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-14,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0058-ACQUIRED-BLU-ADJ-DRAFT-001,RHC-0058-ACQUIRED-BLU,BLU,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-14,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0059-ACQUIRED-CINC-ADJ-DRAFT-001,RHC-0059-ACQUIRED-CINC,CINC,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-14,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0060-ACQUIRED-CTIC-ADJ-DRAFT-001,RHC-0060-ACQUIRED-CTIC,CTIC,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-14,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0061-ACQUIRED-DICE-ADJ-DRAFT-001,RHC-0061-ACQUIRED-DICE,DICE,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-14,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
