case_id,ticker,company,likely_outcome_year,announcement_date,date_confidence,needs_date_backfill,filings_collected,priority_tier,priority_reason,signal_phrase_types,signal_hit_count,adjudication_status,next_action,edgar_company_search_url,notes
RHC-0072-ACQUIRED-FATE,FATE,Fate Therapeutics,2024,,,TRUE,FALSE,BLOCKED,No HIGH/MEDIUM announcement date — run merger_date_prefiller first.,,0,,Add announcement date (HIGH or MEDIUM confidence) via date backfiller.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=FATE&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0073-ACQUIRED-FUSN,FUSN,Fusion Pharmaceuticals Inc.,2024,2024-03-19,MEDIUM,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=FUSN&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0074-ACQUIRED-G1T,G1T,G1 Therapeutics,2024,2024-08-07,HIGH,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=G1T&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0075-ACQUIRED-GRCL,GRCL,Gracell Biotechnologies,2024,,,TRUE,FALSE,BLOCKED,No HIGH/MEDIUM announcement date — run merger_date_prefiller first.,,0,,Add announcement date (HIGH or MEDIUM confidence) via date backfiller.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=GRCL&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0076-ACQUIRED-KRTX,KRTX,"Karuna Therapeutics, Inc.",2024,2023-12-22,MEDIUM,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=KRTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0077-ACQUIRED-LBPH,LBPH,"Longboard Pharmaceuticals, Inc.",2024,2024-10-15,HIGH,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=LBPH&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024,2024-07-08,MEDIUM,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=MORF&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2024,2023-10-10,HIGH,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=MRTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0101-ACQUIRED-CHMA,CHMA,Chiasma,2021,2021-05-05,HIGH,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CHMA&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0102-ACQUIRED-CNST,CNST,Constellation Pharmaceuticals,2021,2021-06-02,HIGH,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CNST&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0103-ACQUIRED-STML,STML,Stemline Therapeutics,2021,2020-05-04,MEDIUM,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=STML&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023,2023-01-09,HIGH,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=ALBO&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0105-ACQUIRED-HZNP,HZNP,Horizon Therapeutics plc,2023,2022-12-12,MEDIUM,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=HZNP&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
RHC-0106-ACQUIRED-SGEN,SGEN,Seagen Inc.,2023,2023-03-13,HIGH,FALSE,FALSE,PENDING_FILING_COLLECTION,Date confirmed; filing collector has not yet run for this case.,,0,,Run pre_announcement_filing_collector.py for this case.,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=SGEN&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,
