case_id,ticker,company,likely_outcome_year,current_announcement_date,date_confidence,needs_date_backfill,edgar_company_search_url,edgar_merger_8k_query_url,edgar_sc14d9_query_url,suggested_query_terms,notes
RHC-0072-ACQUIRED-FATE,FATE,Fate Therapeutics,2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=FATE&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Fate%20Therapeutics%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Fate%20Therapeutics%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Fate Therapeutics"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0073-ACQUIRED-FUSN,FUSN,Fusion Pharmaceuticals Inc.,2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=FUSN&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Fusion%20Pharmaceuticals%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Fusion%20Pharmaceuticals%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Fusion Pharmaceuticals Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0074-ACQUIRED-G1T,G1T,G1 Therapeutics,2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=G1T&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22G1%20Therapeutics%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22G1%20Therapeutics%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""G1 Therapeutics"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0075-ACQUIRED-GRCL,GRCL,Gracell Biotechnologies,2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=GRCL&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Gracell%20Biotechnologies%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Gracell%20Biotechnologies%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Gracell Biotechnologies"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0076-ACQUIRED-KRTX,KRTX,"Karuna Therapeutics, Inc.",2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=KRTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Karuna%20Therapeutics%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Karuna%20Therapeutics%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Karuna Therapeutics, Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0077-ACQUIRED-LBPH,LBPH,"Longboard Pharmaceuticals, Inc.",2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=LBPH&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Longboard%20Pharmaceuticals%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Longboard%20Pharmaceuticals%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Longboard Pharmaceuticals, Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=MORF&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Morphic%20Holding%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Morphic%20Holding%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Morphic Holding, Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2024,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=MRTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Mirati%20Therapeutics%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Mirati%20Therapeutics%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Mirati Therapeutics, Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0101-ACQUIRED-CHMA,CHMA,Chiasma,2021,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CHMA&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Chiasma%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2020-01-01&enddt=2022-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Chiasma%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2020-01-01&enddt=2022-12-31","""Chiasma"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0102-ACQUIRED-CNST,CNST,Constellation Pharmaceuticals,2021,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CNST&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Constellation%20Pharmaceuticals%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2020-01-01&enddt=2022-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Constellation%20Pharmaceuticals%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2020-01-01&enddt=2022-12-31","""Constellation Pharmaceuticals"" ""agreement and plan of merger""",No announcement date in dates file.
